Year,,CU,LFFlow,Colorado,Utah,Wyoming,New Mexico
1971,,3659275.709," 14,898,633 ",1850321.306,768433.0916,368476.8476," 192,626 "
1972,,3740809.137," 13,114,747 ",1907176.504,788635.9976,355570.7086," 203,724 "
1973,,3635509.79," 18,042,449 ",1660732.077,767515.5203,348700.5441," 311,832 "
1974,,4061033.024," 12,909,536 ",2000039.997,807507.3401,416279.664," 202,714 "
1975,,3885620.693," 16,494,364 ",1925196.177,670245.8776,329915.6971," 293,751 "
1976,,3752163.457," 11,070,775 ",1791730.61,663932.1254,324537.5139," 291,666 "
1977,,3123950.125," 5,456,316 ",1670939.378,410466.0229,231496.9136," 219,156 "
1978,,4004480.736," 15,121,540 ",2041168.2,703280.5588,357694.5557," 324,496 "
1979,,4074542.753," 17,384,185 ",1866126.881,750543.3866,359357.6799," 415,824 "
1980,,4102270.189," 17,395,909 ",1850492.035,711433.5923,357551.2367," 423,805 "
1981,,4126451.489," 8,956,329 ",2119464.86,666400.334,345548.4742," 278,861 "
1982,,4170529.214," 17,266,265 ",2056235.194,631156.0254,335795.0316," 407,577 "
1983,,4095638.582," 23,570,803 ",1920909.515,598054.9401,351751.7136," 412,720 "
1984,,3993939.704," 24,352,649 ",1866844.948,638294.5669,317921.8604," 378,113 "
1985,,4272002.857," 21,039,546 ",2001579.313,758018.3608,346145.7641," 383,773 "
1986,,4226849.253," 22,982,503 ",1809585.381,727334.9311,470960.1773," 442,220 "
1987,,4294789.743," 15,343,159 ",1895550.022,767245.2306,475535.9055," 379,155 "
1988,,4699009.732," 11,210,331 ",2278757.541,749435.5568,558091.1119," 351,086 "
1989,,4712218.592," 9,511,026 ",2402295.05,753380.4379,475500.3029," 382,655 "
1990,,4408564.229," 9,373,480 ",2101043.765,795226.3009,516522.3613," 389,997 "
1991,,4170093.075," 12,330,508 ",1868272.904,853327.4307,551121.4969," 329,435 "
1992,,3861065.804," 10,956,884 ",1661282.729,814664.041,543519.2781," 290,945 "
1993,,4121537.189," 18,824,576 ",1785979.144,857892.1722,500356.4525," 335,054 "
1994,,4447299.103," 10,616,817 ",1998840.263,869446.0758,613973.3873," 316,403 "
1995,,3962467.949," 19,921,730 ",1644228.7,839078.1337,428137.3689," 329,131 "
1996,,4479566.216," 14,228,045 ",1864292.622,916455.4106,651689.9123," 312,281 "
1997,,4042386.115," 21,655,579 ",1593349.574,779297.8922,547024.2485," 369,082 "
1998,,4211782.517," 16,694,927 ",1769170.405,818787.7622,498848.2242," 356,663 "
1999,,4448979.203," 15,865,208 ",1787230.464,919579.2553,650084.8191," 323,621 "
2000,,4776116.458," 10,551,961 ",2182400.939,960598.2491,600898.7608," 302,522 "
2001,,4940971.614," 10,736,502 ",2208361.629,1036843.058,648704.1646," 367,826 "
2002,,3991886.169," 6,088,144 ",1817580.918,797181.326,525801.9," 280,744 "
2003,,4268042.646," 10,631,983 ",1967894.913,886120.258,570776.6688," 354,611 "
2004,,3942427.17," 10,073,292 ",1811451.472,851251.2667,492349.6512," 367,675 "
2005,,4336882.202," 16,892,824 ",1821708.006,999158.8211,608236.7554," 443,472 "
2006,,4240251.497," 13,503,050 ",1945381.409,841523.3547,596212.1317," 368,995 "
2007,,4470049.114," 11,453,444 ",2025966.969,952468.3567,601848.818," 400,367 "
2008,,4484720.206," 16,003,489 ",2092920.735,846714.0218,588141.8747," 427,225 "
2009,,4462708.329," 14,089,934 ",2058121.771,889739.4494,526770.7673," 419,651 "
2010,,4394656.613," 12,708,978 ",1833088.395,943525.0001,678353.4366," 374,359 "
2011,,4439326.033," 20,255,836 ",2032749.737,852641.522,558039.9421," 391,935 "
2012,,4621013.294," 7,894,615 ",2154016.099,915773.5633,609122.5821," 391,633 "
2013,,3559605.134," 9,727,034 ",1507596.99,766779.3486,529695.7298," 297,591 "
2014,,4008684.218," 14,246,422 ",1736186.478,864602.0753,582197.8263," 348,344 "
2015,,3971932.267," 13,016,508 ",1577083.806,928250.5981,633842.3137," 343,269 "
2016,,4305350.903," 13,418,884 ",1932414.736,932531.7757,598995.854," 344,293 "
2017,,4706162.455," 16,295,678 ",2044069.832,1013166.57,652739.7903," 455,429 "
2018,,4537676.624," 8,440,932 ",2068444.259,929945.9528,712500.609," 345,831 "
2019,,4620141.64," 17,721,368 ",2082131.831,967855.5386,651014.0052," 429,697 "
2020,,4847085.12," 9,557,982 ",2160368.447,1118377.062,727586.5552," 384,545 "
2021,,3930344.696," 7,818,000 ",1802041.953,832915.6744,595853.526," 354,194 "
2022,,4048964.649," 10,110,000 ",1844875.196,909260.79,669141.7297," 346,912 "
2023,,4705464.627," 17,389,000 ",2299305.023,1045064.442,589665.2305," 423,787 "
,,,,,,,
